127.0.0.1 - - [22/Mar/2020:22:14:32 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:33 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:34 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:14:56 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:08 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:09 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:09 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 3632
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:09 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:09 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:15:09 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 304 -
