127.0.0.1 - - [25/Apr/2020:19:57:04 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:37 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:38 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:38 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:52 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:52 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:57:52 +0800] "GET /laboratoryweb/kaptcha.jpg?d=Sat%20Apr%2025%202020%2019:57:52%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/adminPage HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/css/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/adminPage.js HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/local/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tree_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/css/icons/tip.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/adminIndex?_=1587815881274 HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/img/stubg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/resources/css/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/getNoticeList?_=1587815881276 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [25/Apr/2020:19:58:01 +0800] "GET /laboratoryweb/getPagerMessage?flag=0&_=1587815881275 HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:00:57 +0800] "GET /laboratoryweb/adminPage HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:00:57 +0800] "GET /laboratoryweb/adminIndex?_=1587816057380 HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:00:57 +0800] "GET /laboratoryweb/getNoticeList?_=1587816057382 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:00:57 +0800] "GET /laboratoryweb/getPagerMessage?flag=0&_=1587816057381 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:01:01 +0800] "GET /laboratoryweb/getPagerMessage?flag=-1&_=1587816057383 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:01:02 +0800] "GET /laboratoryweb/getPagerMessage?flag=1&_=1587816057384 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:12:25 +0800] "GET /laboratoryweb/orderManager?_=1587816057385 HTTP/1.1" 200 4143
