127.0.0.1 - - [12/May/2020:12:33:59 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 16890
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/resources/css/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/getNoticeList?_=1589258041176 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:01 +0800] "GET /laboratoryweb/getRuleList?_=1589258041177 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabRankList?_=1589258041178 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabTime?id=1012 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabTime?id=1007 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabTime?id=1013 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabTime?id=1016 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getExperPjtList?_=1589258041179 HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/getLabList?_=1589258041180 HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:02 +0800] "GET /laboratoryweb/resources/css/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:50 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 16890
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 200 75984
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/css/icon.css HTTP/1.1" 200 138477
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 467370
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/easyui/local/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 200 50563
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 200 23630
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/css/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getNoticeList?_=1589258091172 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getRuleList?_=1589258091173 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabRankList?_=1589258091174 HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabTime?id=1007 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabTime?id=1014 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabTime?id=1003 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getExperPjtList?_=1589258091175 HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /laboratoryweb/getLabList?_=1589258091176 HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:51 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 200 97073
0:0:0:0:0:0:0:1 - - [12/May/2020:12:34:55 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/page.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/img/bg.jpg HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/css/icons/tip.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [12/May/2020:12:35:05 +0800] "GET /laboratoryweb/student/index?_=1589258105387 HTTP/1.1" 200 15730
