127.0.0.1 - - [10/Jun/2020:15:30:06 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/homePage HTTP/1.1" 200 17052
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 200 75984
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/css/icon.css HTTP/1.1" 200 138477
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/js/easyui/local/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/img/hpc.jpg HTTP/1.1" 200 50563
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:08 +0800] "GET /laboratoryweb/resources/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 467370
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:09 +0800] "GET /laboratoryweb/resources/img/headbg.jpg HTTP/1.1" 200 23630
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:09 +0800] "GET /laboratoryweb/getNoticeList?_=1591774208935 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:09 +0800] "GET /laboratoryweb/getRuleList?_=1591774208936 HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabRankList?_=1591774208937 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabTime?id=1001 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabTime?id=1009 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabTime?id=1012 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabTime?id=1014 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getExperPjtList?_=1591774208938 HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/getLabList?_=1591774208939 HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/resources/css/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [10/Jun/2020:15:30:10 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
